AUTORE,TITOLO,CASA EDITRICE,COLLANA,ANNO PUBBLICAZIONE,NUMERO PAGINE 
"Forsyth, Frederick",Il giorno dello sciacallo,La biblioteca di Repubblica,Novecento - N. 84,2003,412
"Vidal, Gore",L'età dell'oro,La biblioteca di Repubblica,Novecento - N. 69,2003,479
"Queneau, raymond",I fiori blu,La biblioteca di Repubblica,Novecento - N. 59,2003,223
"Chatwin, Bruce",Utz,La biblioteca di Repubblica,Novecento - N. 58,2003,127
"Céline, Louis-Ferdinand",Viaggio al termine della notte,La biblioteca di Repubblica,Novecento - N. 54,2002,480
"Baricco, Alessandro",Oceano mare,La biblioteca di Repubblica,Novecento - N. 53,2002,222
"Tomasi di Lampedusa, Giuseppe",Il gattopardo,La biblioteca di Repubblica,Novecento - N. 52,2002,221
"McEwan, Ian",Bambini nel tempo,La biblioteca di Repubblica,Novecento - N. 59,2002,255
"Morante, Elsa",La Storia,La biblioteca di Repubblica,Novecento - N. 37,2002,603
"Simenon, Georges",L'uomo che guardava passare i treni,La biblioteca di Repubblica,Novecento - N. 27,2002,190
"Forster, Edward Morgan",Camera con vista,La biblioteca di Repubblica,Novecento - N. 25,2002,223
"Böll, Heinrich",Opinioni di un clown,La biblioteca di Repubblica,Novecento - N. 13,2002,255
"Svevo, Italo",La coscienza di Zeno,La biblioteca di Repubblica,Novecento - N. 12,2002,383
"Schnitzler, Arthur",Doppio sogno,La biblioteca di Repubblica,Novecento - N. 11,2002,95
"Proust, Marcel",La strada di Swann,La biblioteca di Repubblica,Novecento - N. 10,2002,415
"Calvino, Italo",Se una notte d'inverno un viaggiatore,La biblioteca di Repubblica,Novecento - N. 4,2002,222
"Silone, Ignazio",Fontamara,Famiglia Cristiana,I grandi della narrativa - Novecento Italiano - N. 10,1997,208
"Orwell, George",La fattoria degli animali,Famiglia Cristiana,I grandi della narrativa - Novecento Europeo - N. 11,1998,115
"Kafka, Franz",La metamorfosi e altri racconti,Famiglia Cristiana,I grandi della narrativa - Novecento Europeo - N. 10,1998,239
"Joyce, James A.",Gente di Dublino,Famiglia Cristiana,I grandi della narrativa - Novecento Europeo - N. 9,1998,210
"Hesse, Herman",Siddharta,Famiglia Cristiana,I grandi della narrativa - Novecento Europeo - N. 8,1998,145
"Mann, Thomas",La morte a Venezia - Tristano - Tonio Kröger,Famiglia Cristiana,I grandi della narrativa - Novecento Europeo - N. 2,1997,195
"Greene, Graham",Il potere e la gloria,Famiglia Cristiana,I grandi della narrativa - Novecento Europeo - N. 1,1997,262
"Conrad, Joseph",Tifone,Famiglia Cristiana,Gli indimenticabili - N. 4,1999,145
"Puškin, Aleksàndr Sergéevič",La figlia delcapitano,Famiglia Cristiana,Gli indimenticabili - N. 8,1999,146
Molière,Il Tartufo - Il malato immaginario,Famiglia Cristiana,Gli indimenticabili - N. 9,1999,160
"Stevenson, Robert Louis",Lo strano caso del dottor Jekyll e del signor Hyde,Famiglia Cristiana,Gli indimenticabili - N. 10,1999,140
"Twain, Mark",Le avventure di Tom Sawyer,Famiglia Cristiana,Gli indimenticabili - N. 11,1999,243
"De Balzac, Honoré",Papà Goriot,Famiglia Cristiana,Gli indimenticabili - N. 12,1999,259
"Morini, Walter - Polo, Max - Ricchezza, Giulio","Vita e morte del soldato italiano nella guerra senza fortuna. Sotto la direzione di Baudin, Jean",Edizioni Ferni e Ginevra,Volume XVII,1974,247
"Morini, Walter - Polo, Max - Ricchezza, Giulio","Vita e morte del soldato italiano nella guerra senza fortuna. Sotto la direzione di Baudin, Jean",Edizioni Ferni e Ginevra,Volume XVII,1974,247
"Bogatsvo, Julius - De Lavigny, Jean - Ferraiuolo, Enzo - Polo, Max","Vita e morte del soldato italiano nella guerra senza fortuna. Sotto la direzione di Baudin, Jean",Edizioni Ferni e Ginevra,Volume XV,1974,250
"Caroli, Antonio - Enriquez, Silvio - Polo, Max - Vignola, Giovanni","Vita e morte del soldato italiano nella guerra senza fortuna. Sotto la direzione di Baudin, Jean",Edizioni Ferni e Ginevra,Volume XII,1973,249
"Bogatsvo, Julius - Infante, Massimo - Polo, Max","Vita e morte del soldato italiano nella guerra senza fortuna. Sotto la direzione di Baudin, Jean",Edizioni Ferni e Ginevra,Volume XI,1973,249
"Adar, Ghimel - Polo, Max - Lovero, Giovanni - Ricchezza, Giulio","Vita e morte del soldato italiano nella guerra senza fortuna. Sotto la direzione di Baudin, Jean",Edizioni Ferni e Ginevra,Volume VIII,1973,250
"Maioli, Goly - Polo, Max - Vignola, Giovanni - Ricchezza, Giulio","Vita e morte del soldato italiano nella guerra senza fortuna. Sotto la direzione di Baudin, Jean",Edizioni Ferni e Ginevra,Volume VI,1973,249
"Maioli, Goly - Polo, Max - Vignola, Giovanni - Ricchezza, Giulio","Vita e morte del soldato italiano nella guerra senza fortuna. Sotto la direzione di Baudin, Jean",Edizioni Ferni e Ginevra,Volume VI,1973,249
"Adar, Ghimel - Bogatsvo, Julius - Giovanelli, Vincenzo - Infante, Massimo","Vita e morte del soldato italiano nella guerra senza fortuna. Sotto la direzione di Baudin, Jean",Edizioni Ferni e Ginevra,Volume V,1973,250
"Adar, Ghimel - Bogatsvo, Julius - Giovanelli, Vincenzo - Infante, Massimo","Vita e morte del soldato italiano nella guerra senza fortuna. Sotto la direzione di Baudin, Jean",Edizioni Ferni e Ginevra,Volume V,1973,250
"Bogatsvo, Julius - Enriquez, Silvio - Nava, Nino - Polo, Max","Vita e morte del soldato italiano nella guerra senza fortuna. Sotto la direzione di Baudin, Jean",Edizioni Ferni e Ginevra,Volume IV,1973,263
"Enriquez, Silvio - Maioli, Goly - Nava, Nino - Polo, Max - Marengo, Laura","Vita e morte del soldato italiano nella guerra senza fortuna. Sotto la direzione di Baudin, Jean",Edizioni Ferni e Ginevra,Volume III,1973,248
"Enriquez, Silvio - Maioli, Goly - Nava, Nino - Polo, Max - Marengo, Laura","Vita e morte del soldato italiano nella guerra senza fortuna. Sotto la direzione di Baudin, Jean",Edizioni Ferni e Ginevra,Volume III,1973,248
"Lovero, Giovanni - Maioli, Goly - Nava, Nino - Polo, Max","Vita e morte del soldato italiano nella guerra senza fortuna. Sotto la direzione di Baudin, Jean",Edizioni Ferni e Ginevra,Volume II,1973,247
"Lovero, Giovanni - Maioli, Goly - Nava, Nino - Polo, Max","Vita e morte del soldato italiano nella guerra senza fortuna. Sotto la direzione di Baudin, Jean",Edizioni Ferni e Ginevra,Volume II,1973,247
"Maioli, Goly - Marengo, Laura - Nava, Nino - Polo, Max","Vita e morte del soldato italiano nella guerra senza fortuna. Sotto la direzione di Baudin, Jean",Edizioni Ferni e Ginevra,Volume I,1973,247
"Pasolini, Pier Paolo",Petrolio,Arnoldo Mondadori Editore,Oscar Moderni,2020,593
"Bukowski, Charles",Il canto dei folli. Poesie II,Feltrinelli,Universale Economica Feltrinelli,2018,303
"Bukowski, Charles","Il sole bacia i belli. Interviste, incontri, insulti",Feltrinelli,Universale Economica Feltrinelli,2018,327
"De Luca, Erri",Il peso della farfalla,Feltrinelli,Universale Economica Feltrinelli,2019,70
"Ratzinger, Joseph. Benedetto XVI",Il Dio vicino. L'eucaristia cuore della vita cristiana,Edizioni San Paolo,I Grandi Maestro dello Spirito - N. 14,2010,203
"Fausti, Silvano","La fine del temoi. Le domande ""ultime"" dell'uomo",Edizioni San Paolo,I Grandi Maestro dello Spirito - N. 13,2010,188
"Carretto, Carlo",Beata te che hai creduto,Edizioni San Paolo,I Grandi Maestro dello Spirito - N. 12,2010,142
Madre Teresa di Calcutta,La gioia di darsi agli altri,Edizioni San Paolo,I Grandi Maestro dello Spirito - N. 11,2010,242
"Forte, Bruno",L'essenza del cristianesimo. Il Dio che è amore,Edizioni San Paolo,I Grandi Maestro dello Spirito - N. 10,2010,250
"Cantalamessa, Raniero",Le beatitudini evangeliche. Otto gradini verso la felicità,Edizioni San Paolo,I Grandi Maestro dello Spirito - N. 9,2010,202
"Martini, Carlo Maria",La dimensione contemplativa della vita. Verso una esistenza ordinata,Edizioni San Paolo,I Grandi Maestro dello Spirito - N. 8,2010,121
"Zaega, Leonardo",I colloqui col padre. La famiglia italiana si racconta a un grande prete giornalista,Edizioni San Paolo,I Grandi Maestro dello Spirito - N. 7,2010,236
"Comastri, Angelo",Gesù. …e se fosse tutto vero?,Edizioni San Paolo,I Grandi Maestro dello Spirito - N. 6,2010,203
"Carretto, Carlo",Il deserto nella città. Nella Babele del mondo d'oggiun modo di vivere la preghiera,Edizioni San Paolo,I Grandi Maestro dello Spirito - N. 5,2010,171
"Bello, Tonino",Le mie notti insonni. Per i costruttori di speranza e di pace,Edizioni San Paolo,I Grandi Maestro dello Spirito - N. 4,2010,176
"Ravasi, Gianfranco",I comandamenti. La via maestra per l'uomo,Edizioni San Paolo,I Grandi Maestro dello Spirito - N. 3,2010,155
"Turoldo, David Maria","Amare. ""Non dire nulla. Cerca solo di essere""",Edizioni San Paolo,I Grandi Maestro dello Spirito - N. 2,2010,197
"Gogol', Nikolaj Vasil'evič",Taras Bul'ba,Arnoldo Mondadori Editore,Prima edizione,1959,223
"Collins, Suzanne",Hunger Games,Arnoldo Mondadori Editore,Chrysalide,2012,369
"Collins, Suzanne",Hunger Games. La ragazza di fuoco,Arnoldo Mondadori Editore,Chrysalide,2012,375
"Collins, Suzanne",Hunger Games. Il canto della rivolta,Arnoldo Mondadori Editore,Chrysalide,2012,420
"Hesse, Herman",Siddharta,Mondolibri,,2000,191
"Baricco, Alessandro",Oceano mare,Edizione CDE spa - Milano,,1995,227
"Cassola, Carlo",La ragazza di Bube,Arnoldo Mondadori Editore,Oscar classici moderni,2012,219
"Isaia, Graziano",Un vecchio e un bambino si preser per mano,Primalpe,,2010,71
"Llosa, Mario Vargas",Elogio della matrigna,Rizzoli Editore,La Scala,1990,165
"De Amicis, Edmondo",Amore e ginnastica. Qui comincia la lettura,Edizioni Corraini,Qui comincia la lettura,2009,144
"Ginzburg, Natalia",La città e la casa,Edizione CDE spa - Milano,,1985,227
"Wilde, Oscar",Il ritratto di Dorian Gray,Alberto Peruzzo Editore,La mini biblioteca Peruzzo,2003,527
"Mann, Thomas",La morte a Venezia - Tonio Kröger,Alberto Peruzzo Editore,La mini biblioteca Peruzzo,2003,363
"Manzoni, Alessandro",I Promessi Sposi. Vol. 1,Alberto Peruzzo Editore,La mini biblioteca Peruzzo,2003,722
"Manzoni, Alessandro",I Promessi Sposi. Vol. 2,Alberto Peruzzo Editore,La mini biblioteca Peruzzo,2003,720
"Shakespeare, William",Amleto,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 2,1996,98
"Hesse, Herman",Il vagabondo,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 201,1995,91
"D'Annunzio, Giovanni",Giovanni Episcopo,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 202,1995,90
"Mann, Thomas",Cane e padrone,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 203,1995,92
"Pirandello, Luigi",Una giornata,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 204,1995,88
"Shakespeare, William",Re Lear,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 205,1995,95
Confucio,Massime,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 206,1995,96
"Borges, Jorge Luis",Cos'è il buddismo,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 207,1995,89
"Freud, Sigmund",Storia del movimento psicoanalitico - L'interesse per la psicoanalisi,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 208,1995,86
"Lovecraft, Howard Phillips",La tomba e altre storie dell'orrore,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 209,1995,96
"London, Jack",Il richiamo della foresta,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 210,1995,98
Nostradamus,Le profezie,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 211,1995,97
"Seneca, Lucio Anneo",Guida alla saggezza,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 212,1995,89
Bibbia,I proverbi della Bibbia,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 213,1995,93
"Conan Doyle, Arthur",Il segno dei quattro,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 214,1995,98
"Rimbaud, Arthur",Una stagione all'inferno,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 215,1995,85
"Deledda, Grazia",Il paese del vento,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 216,1995,93
"De Balzac, Honoré",La fanciulla dagli occhi d'oro,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 217,1995,97
"Shakespeare, William",Il mercante di Venezia,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 220,1995,87
"Kierkegaard, Sören",La malattia mortale,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 221,1995,95
"Leroux, Gaston",Storie macabre,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 222,1995,95
"Verga, Giovanni",Una peccatrice,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 223,1995,98
"Freud, Sigmund",Coca e cocaina,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 224,1995,88
"Hesse, Herman",Il piacere dell'ozio,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 225,1995,89
"Verne, Jules",Parigi nel XX secolo. Prima edizione italiana,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 226,1995,92
"Shakespeare, William",Giulio Cesare,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 227,1995,88
"Campanella, Tommaso",La città del sole,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 228,1995,91
"Freud, Sigmund",Psicologia delle masse e analisi dell'Io,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 229,1995,88
"Lawrence, D.H.",La volpe,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 230,1995,89
"Coleridge, Samuel Taylor",La ballata del vecchio marinaio e altre poesie,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 231,1995,95
Lao-Tzu,Il libro del Tao. Tao-tech-ching,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 232,1995,85
"Gibran, Gibran Kahlil",Il profeta,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 233,1995,93
"Evtušenko, Evgenij","Arrivederci, bandiera rossa. Poesie degli anni Novanta",Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 234,1995,92
"Pirandello, Luigi",Donna Mimma,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 235,1995,97
"D'Annunzio, Giovanni",La figlia di Iorio,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 236,1995,94
"Shakespeare, William",Sonetti d'amore,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 237,1995,83
"Shaw, George Bernard",Pigmalione,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 238,1995,91
"Freud, Sigmund",Psicologia della vita amorosa,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 239,1995,84
"Pirandello, Luigi",Amori senza amore,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 240,1995,96
"Hesse, Herman",Animo infantile,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 241,1995,97
"Deledda, Grazia",Sangue sardo,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 242,1995,87
"Musil, Robert",Congiungimenti,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 243,1995,98
"Apuleio, Lucio",la favola di Amoere e Psiche,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 244,1995,94
"Lawrence, D.H.",Apocalisse,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 245,1995,93
"Machiavelli, Niccolò",Il Principe,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 246,1995,89
"Kierkegaard, Sören",Aforismi e pensieri,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 247,1995,88
"Hegel, Georg Wilhelm Friedrich",Vita di Gesù,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 248,1995,90
Erasmo Da Rotterdam,Elogio alla follia,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 249,1995,96
"Kerouac, Jack","Pic. Storia di un vagabondo ""sulla strada""",Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 250,1995,88
"Eichendorff, Joseph von",Vita di un perdigiorno,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 251,1995,95
Giovanni Paolo II,Il Papa alle donne,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 252,1995,90
"Gibran, Gibran Kahlil",I segreti del cuore,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 253,1995,97
"Hesse, Herman",Nella terra di Siddharta,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 254,1995,93
"Conan Doyle, Arthur",Gli aforismi di Sherlock Holmes,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 255,1995,86
"Wilde, Oscar",L'importanza di essere Onesto,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 256,1995,91
"Dostoevskij, Fëdor M.",Il sogno di un uomo ridicolo - La mite. Due racconti fantastici,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 257,1995,85
Stendhal,Vita di Mozart,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 258,1995,88
"Crane, Stephen","Maggie, ragazza di strada",Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 259,1996,88
"Flaubert, Gustave",Memorie di un pazzo,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 260,1996,85
"Poe, Edgar Allan",Eureka. Poema in prosa,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 263,1996,97
"Basili, Dino",L'amore è tutto. Breviario neo-romantico per il Duemila. Un libro da leggere in due,Newton Compton editori,100 Pagine 1000 Lire 2 - TEN - N. 265,1996,97
"Shakespeare, William",Amleto,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 1,1992,98
"Kafka, Franz",La metamorfosi - Nella colonia penale,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 3,1993,96
"Hesse, Herman",Vagabondaggio,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 4,1993,93
"Stevenson, Robert Louis",Lo strano caso del dottor Jekyll e del signor Hyde,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 6,1992,97
"Freud, Sigmund",Psicoanalisi. Esposizione divulgativa in cinque conferenze,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 7,1993,94
"Shakespeare, William","Otello, il Moro di Venezia",Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 8,1992,95
"Svevo, Italo",Corto viaggio sentimentale,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 9,1992,96
"Hesse, Herman",Amicizia,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 10,1993,92
"Mann, Thomas",La morte a Venezia,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 12,1992,96
"Darwin, Charles",L'origine delle specie Abbozzo del 1842,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 13,1993,97
"Garcìa Lorca, Federico",I sonetti dell'amore oscuro,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 15,1993,93
"Hesse, Herman",Pellegrinaggio d'autunno,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 16,1993,96
"Marziale, Marco Valerio",I cento epigrammi proibiti,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 17,1993,97
"Poe, Edgar Allan",Racconti del terrore,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 18,1993,95
"Aretino, Pietro",Sonetti lussuriosi e dubbi amorosi,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 19,1992,97
"Shakespeare, William",Romeo e Giulietta,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 20,1993,97
"Wilde, Oscar",Aforismi,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 21,1993,97
"Bulgakov, Michail",Cuore di cane,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 22,1992,97
Buddha,I quattro pilastri della saggezza,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 23,1992,93
"Ibsen, Henrik",Casa di bambola,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 26,1992,93
"Hesse, Herman",Knulp. Storia di un vagabondo,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 28,1992,97
"Poe, Edgar Allan",Racconti d'incubo,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 30,1992,93
"Pirandello, Luigi",Sei personaggi in cerca di autore,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 32,1993,93
"Seneca, Lucio Anneo",La felicità,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 33,1993,87
"Hesse, Herman",Bella è gioventù,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 34,1992,95
"Baudelaire, Charles",Il poema dell'hashish,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 35,1993,94
"Walpole, Horace",Il castellon di Otranto,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 36,1993,97
"Radiguet, Raymond",Il diavolo in corpo,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 38,1993,96
"Seneca, Lucio Anneo",L'ozio - La serenità,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 39,1993,95
"Hesse, Herman",Francesco d'Assisi,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 40,1993,91
"Jonson, Ben","Il Dottor Sottile, l'alchimista",Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 41,1993,97
"Polidori, John William",Il vampiro - Un mistero della campagna romana,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 42,1993,92
"Gogol', Nikolaj Vasil'evič",Il cappotto - Il naso,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 44,1993,92
"Hesse, Herman",Klein e Wagner,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 46,1993,90
"Gibran, Gibran Kahlil",Massime spirituali,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 47,1993,94
"Nietzsche, Friedrich W.",Ecce homo,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 49,1993,96
"Hesse, Herman",Hermann Lauscher,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 52,1993,97
"Cicerone, Marco Tullio",L'amicizia,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 53,1993,91
"Kafka, Franz",Lettera al padre,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 54,1993,83
"Fucini, Renato",Le veglie dei Neri,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 55,1993,96
"Lovecraft, Howard Phillips",La casa stregata,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 56,1993,95
"Betti, Ugo",Corruzione al Palazzo di Giustizia,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 58,1993,93
"Gibran, Gibran Kahlil",Le ali spezzate,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 59,1993,94
"Giovenale, Decimo Giunio",Contro le donne,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 61,1993,93
Plutarco,Il fato - La superstizione,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 62,1993,93
"Verga, Giovanni",Storia di una Capinera,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 63,1993,93
"La Rochefoucauld, François",Massime,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 64,1993,96
"Le Fanu, Joseph Sheridan",Carmilla,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 65,1993,91
"Bierce, Ambrose",I racconti dell'oltretomba,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 66,1993,97
"Eliot, George",Il velo dissolto - La storia della vecchia nutrice,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 67,1993,92
"Stoker, Bram",L'ospite di Dracula,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 68,1993,96
"Stevenson, Robert Louis",Il ladro di cadaveri,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 69,1993,97
"Wilde, Oscar",Il delitto di Lord Savile - Il fantasma di Canterville,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 70,1993,96
"Goldoni, Carlo",La locandiera,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 70,1993,93
"Pirandello, Luigi",L'umorismo,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 72,1993,98
"Hesse, Herman",Il miglioratore del mondo - Emil Kolb,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 73,1993,90
"Svevo, Italo",Il buon vecchio e la buona fanciulla e altri racconti,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 74,1993,95
"Bonaparte, Napoleone","Aforismi, massime e pensieri",Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 75,1993,95
"Gautier, Théophile",Jettatura,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 76,1993,97
"Cuomo, Franco",Elogio del libertino,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 77,1993,94
"Conrad, Joseph",Cuore di tenebra,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 78,1993,97
"Melville, Herman",Billy Budd il marinaio,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 79,1993,94
"Hodgson, William Hope",L'orrore del mare,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 80,1993,97
"Schopenhauer, Arthur",Saggio sulla visione degli spiriti,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 83,1993,87
San Francesco,I fioretti di San Francesco,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 84,1993,91
"Goethe, Johann Wolfgang",I dolori del giovane Werther,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 85,1993,97
"Seneca, Lucio Anneo",Come vivere a lungo - La provvidenza,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 86,1993,95
"Kraus, Karl",Aforismi in forma di diario,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 87,1993,90
"Conan Doyle, Arthur",La mummia e altri racconti,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 88,1993,94
"Verlaine, Paul",Femmes e Hombres. Poesie erotiche,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 89,1993,93
"Solženicyn, Aleksandr Isàevič",Una giornata di Ivàn Denìsovič,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 90,1993,97
"Hodgson, William Hope - Howard, R.E. - Lovecraft H.P. - Quinn, S. - Wellman, M.W.",Gli Indagatori dell'incubo. Cinque casi del Soprannaturale risolti dai Maestri dell'Orrore,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 91,1993,90
"Kierkegaard, Sören",Diario del seduttore,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 92,1993,97
"Manzoni, Alessandro",Storia della colonna infame,Newton Compton editori,100 Pagine 1000 Lire 1 - TEN - N. 93,1993,94
