AUTORE,TITOLO,CASA EDITRICE,COLLANA,ANNO PUBBLICAZIONE,NUMERO PAGINE 
"De Cataldo, Giancarlo",Nelle mani giuste,Einaudi,Stile libero Big,2010,336
"De Cervantes, Miguel",Don Chisciotte della Mancia. Vol. I e II,Giulio Einaudi editore,Einaudi tascabili. Biblioteca,2015,1212
"De Crescenzo, Luciano",Il dubbio,Arnoldo Mondadori,,1993,115
"De Crescenzo, Luciano","Nessuno, l'Odissea raccontata ai lettori d'oggi",Arnoldo Mondadori,I Miti,1998,268
"De Crescenzo, Luciano",Panta rei (tutto scorre),Arnoldo Mondadori,I Miti,1994,223
"De Crescenzo, Luciano",Storia della filosofia greca,Arnoldo Mondadori,I Miti,1995,449
"De Crescenzo, Luciano","Storia della filosofia greca, i presocratici",Arnoldo Mondadori,,1984,232
"De Crescenzo, Luciano",Storia della filosofia moderna,Arnoldo Mondadori,I Miti,2003,156
"De Crescenzo, Luciano","Ti porterà fortuna, guida insolita di Napoli",Arnoldo Mondadori,,2014,161
"De Crescenzo, Luciano",Vita di Luciano De Crescenzo scritta da lui medesimo,Arnoldo Mondadori,Bestsellers Oscar Mondadori,1991,250
"De Crescenzo, Luciano",Storia della filosofia moderna. Da Cartesio a Kant,Arnoldo Mondadori Editore,Oscar bestsellers,2006,181
"De Gregorio, Concita",Io vi maledico,Giulio Einaudi editore,Stile Libero Big,2013,176
"De Luca, Erri",Nocciolo d'oliva,Edizioni Messaggero Padova,terra & cielo,2008,126
"De Luca, Erri",Montedidio,Feltrinelli,I Narratori,2001,142
"De Maupassant, Guy",Bel-Ami,Editrice La Stampa,I Classici La Stampa 5,2003,318
"De Maupassant, Guy",Forte come la morte,Gherardo Casini Editore,I libri del Sabato,1965,238
"De Maupassant, Guy",Tutti i racconti. Quattro volumi,Newton Compton editori,Grandi Tascabili Economici Newton,1995,1909
"De Maupassant, Guy",Tutti i racconti. Vol. I,Newton Compton editori,Grandi Tascabili Economici Newton,1995,480
